uname,name,start,end
ahsitaro,Ahsitaro,2007-03-01,2007-03-05
ana,Aña,2006-12-10,2006-12-15
ana-pihkoro,Aña Pihkorõ,2006-12-19,2006-12-31
ana-siokha,Aña Siõkha,2006-11-17,2006-11-23
bihpia,Bihpia,2007-10-11,2007-10-13
dahsiu,Dahsiu,2007-03-06,2007-03-26
hia-diara-kuma,Hia Diara Kuma,2007-09-12,2007-09-30
hia-kuma,Hia Kuma,2007-08-01,2007-08-10
hia-kuma,Hia Kuma,2007-08-14,2007-08-18
hia-kuma,Hia Kuma,2007-10-14,2007-10-31
hia-utaphea-keose-kuma,Hia Utaphea Keose Kuma,2007-10-03,2007-10-10
hia-yunari-kuma,Hia Yuñari Kuma,2007-08-23,2007-09-02
kare-kuma,Kãre Kuma,2007-05-14,2007-05-20
mere-kuma,Mere Kuma,2007-01-01,2007-01-09
muha,Muha,2007-02-25,2007-02-28
nia-kuma,Ñia Kuma,2006-11-04,2006-11-16
nokoatero,Ñokõatero,2007-05-04,2007-05-13
pamo,Pamõ,2007-01-10,2007-01-21
pamo-oaduhka,Pamõ Oãduhka,2007-01-26,2007-02-01
sararo-kuma,Sararo Kuma,2007-07-23,2007-07-31
sio-yahpu,Sio Yahpu,2007-06-02,2007-06-11
sio-yahpu,Sio Yahpu,2007-06-15,2007-06-24
sio-yahpu,Sio Yahpu,2007-06-30,2007-07-21
ure-kuma,Ure Kuma,2007-02-08,2007-02-24
wai-kahsa,Wai Kahsa,2007-05-21,2007-05-27
wamu-kuma,Wamu Kuma,2007-03-29,2007-04-05
yai,Yai,2007-04-19,2007-05-03
yhe,Yhe,2007-08-11,2007-08-13
yhe,Yhe,2007-08-19,2007-08-22
yurara,Yurara,2007-09-03,2007-09-08
